from_pkg	to_pkg	via
Cython	aaa_glibc-solibs	linked
Cython	python-lxml	hint:import
Cython	python-numpy	hint:import
Cython	python-pygments	hint:import
GConf	aaa_glibc-solibs	linked
GConf	aaa_libraries	linked
GConf	cyrus-sasl	lib
GConf	dbus	linked
GConf	dbus-glib	linked
GConf	e2fsprogs	lib
GConf	elogind	lib
GConf	glib2	linked
GConf	libxml2	linked
GConf	openssl	lib
GConf	openssl-solibs	lib
GConf	polkit	linked
GConf	python-lxml	hint:import
GConf	util-linux	lib
Imath	aaa_glibc-solibs	linked
Imath	aaa_libraries	linked
Imath	boost	linked
LibRaw	aaa_glibc-solibs	linked
LibRaw	aaa_libraries	linked
LibRaw	lcms2	linked
MPlayer	a52dec	linked
MPlayer	aaa_glibc-solibs	linked
MPlayer	aaa_libraries	linked
MPlayer	aalib	linked
MPlayer	aom	lib
MPlayer	at-spi2-core	linked
MPlayer	audiofile	lib
MPlayer	brotli	lib
MPlayer	cairo	linked
MPlayer	cyrus-sasl	lib
MPlayer	dav1d	lib
MPlayer	dbus	lib
MPlayer	e2fsprogs	lib
MPlayer	esound	linked
MPlayer	ffmpeg	linked
MPlayer	flac	lib
MPlayer	fontconfig	linked
MPlayer	freeglut	lib
MPlayer	freetype	linked
MPlayer	fribidi	linked
MPlayer	gdk-pixbuf2	linked
MPlayer	glib2	linked
MPlayer	glu	lib
MPlayer	gnutls	linked
MPlayer	graphite2	lib
MPlayer	gtk+2	linked
MPlayer	harfbuzz	linked
MPlayer	icu4c	lib
MPlayer	jansson	lib
MPlayer	lame	linked
MPlayer	lcms2	lib
MPlayer	libX11	linked
MPlayer	libXScrnSaver	linked
MPlayer	libXau	lib
MPlayer	libXcomposite	lib
MPlayer	libXcursor	lib
MPlayer	libXdamage	lib
MPlayer	libXdmcp	lib
MPlayer	libXext	linked
MPlayer	libXfixes	lib
MPlayer	libXi	lib
MPlayer	libXinerama	linked
MPlayer	libXrandr	lib
MPlayer	libXrender	lib
MPlayer	libXv	linked
MPlayer	libXxf86dga	linked
MPlayer	libXxf86vm	linked
MPlayer	libass	linked
MPlayer	libasyncns	lib
MPlayer	libbluray	linked
MPlayer	libcaca	linked
MPlayer	libcdio	linked
MPlayer	libcdio-paranoia	linked
MPlayer	libdrm	lib
MPlayer	libdvdnav	linked
MPlayer	libdvdread	linked
MPlayer	libgcrypt	lib
MPlayer	libglvnd	linked
MPlayer	libmad	linked
MPlayer	libmng	linked
MPlayer	libogg	linked
MPlayer	librsvg	lib
MPlayer	libsndfile	lib
MPlayer	libssh	lib
MPlayer	libtheora	linked
MPlayer	libunibreak	lib
MPlayer	libva	lib
MPlayer	libvdpau	lib
MPlayer	libvorbis	linked
MPlayer	libvpx	lib
MPlayer	libwebp	lib
MPlayer	libxcb	lib
MPlayer	libxml2	lib
MPlayer	lzo	linked
MPlayer	mpg123	linked
MPlayer	nettle	lib
MPlayer	ocl-icd	lib
MPlayer	openal-soft	linked
MPlayer	openjpeg	lib
MPlayer	openssl	lib
MPlayer	openssl-solibs	lib
MPlayer	opus	linked
MPlayer	p11-kit	lib
MPlayer	pango	linked
MPlayer	pixman	lib
MPlayer	pulseaudio	linked
MPlayer	samba	linked
MPlayer	sdl	linked
MPlayer	speex	linked
MPlayer	talloc	lib
MPlayer	tevent	lib
MPlayer	util-linux	lib
MPlayer	vulkan-sdk	lib
Mako	python-MarkupSafe	hint:import
Mako	python-babel	hint:import
Mako	python-pygments	hint:import
ModemManager	aaa_glibc-solibs	linked
ModemManager	aaa_libraries	linked
ModemManager	elogind	lib
ModemManager	glib2	linked
ModemManager	libgudev	linked
ModemManager	libmbim	linked
ModemManager	libqmi	linked
ModemManager	libqrtr-glib	linked
ModemManager	polkit	linked
ModemManager	util-linux	lib
NetworkManager-openvpn	NetworkManager	linked
NetworkManager-openvpn	aaa_glibc-solibs	linked
NetworkManager-openvpn	aaa_libraries	linked
NetworkManager-openvpn	at-spi2-core	linked
NetworkManager-openvpn	brotli	lib
NetworkManager-openvpn	cairo	linked
NetworkManager-openvpn	dbus	lib
NetworkManager-openvpn	fontconfig	lib
NetworkManager-openvpn	freetype	lib
NetworkManager-openvpn	fribidi	lib
NetworkManager-openvpn	gcr4	lib
NetworkManager-openvpn	gdk-pixbuf2	linked
NetworkManager-openvpn	glib2	linked
NetworkManager-openvpn	graphite2	lib
NetworkManager-openvpn	gtk+3	linked
NetworkManager-openvpn	harfbuzz	linked
NetworkManager-openvpn	libX11	lib
NetworkManager-openvpn	libXau	lib
NetworkManager-openvpn	libXcomposite	lib
NetworkManager-openvpn	libXcursor	lib
NetworkManager-openvpn	libXdamage	lib
NetworkManager-openvpn	libXdmcp	lib
NetworkManager-openvpn	libXext	lib
NetworkManager-openvpn	libXfixes	lib
NetworkManager-openvpn	libXi	lib
NetworkManager-openvpn	libXinerama	lib
NetworkManager-openvpn	libXrandr	lib
NetworkManager-openvpn	libXrender	lib
NetworkManager-openvpn	libXres	lib
NetworkManager-openvpn	libepoxy	lib
NetworkManager-openvpn	libgcrypt	lib
NetworkManager-openvpn	libnma	linked
NetworkManager-openvpn	libsecret	linked
NetworkManager-openvpn	libxcb	lib
NetworkManager-openvpn	mozilla-nss	lib
NetworkManager-openvpn	openvpn	hint:exec
NetworkManager-openvpn	p11-kit	lib
NetworkManager-openvpn	pango	linked
NetworkManager-openvpn	pixman	lib
NetworkManager-openvpn	util-linux	lib
NetworkManager-openvpn	wayland	lib
NetworkManager	ModemManager	linked
NetworkManager	aaa_glibc-solibs	linked
NetworkManager	aaa_libraries	linked
NetworkManager	brotli	lib
NetworkManager	cyrus-sasl	lib
NetworkManager	dnsmasq	hint:exec
NetworkManager	e2fsprogs	lib
NetworkManager	elogind	linked
NetworkManager	glib2	linked
NetworkManager	jansson	linked
NetworkManager	libndp	linked
NetworkManager	libnvme	hint:dlopen
NetworkManager	mozilla-nss	linked
NetworkManager	newt	linked
NetworkManager	nftables	hint:exec
NetworkManager	nghttp2	lib
NetworkManager	nghttp3	lib
NetworkManager	ngtcp2	lib
NetworkManager	openssl	lib
NetworkManager	openssl-solibs	lib
NetworkManager	ppp	hint:exec
NetworkManager	util-linux	lib
OpenCC	aaa_glibc-solibs	linked
OpenCC	aaa_libraries	linked
OpenCC	marisa	linked
PyQt-builder	python-packaging	hint:import
PyQt5	PyQt5_sip	hint:import
PyQt5	aaa_glibc-solibs	linked
PyQt5	aaa_libraries	linked
PyQt5	dbus	linked
PyQt5	e2fsprogs	lib
PyQt5	flac	lib
PyQt5	icu4c	lib
PyQt5	lame	lib
PyQt5	libX11	lib
PyQt5	libXau	lib
PyQt5	libXdmcp	lib
PyQt5	libXext	lib
PyQt5	libasyncns	lib
PyQt5	libglvnd	linked
PyQt5	libogg	lib
PyQt5	libsndfile	lib
PyQt5	libvorbis	lib
PyQt5	libxcb	lib
PyQt5	mpg123	lib
PyQt5	openssl	lib
PyQt5	openssl-solibs	lib
PyQt5	opus	lib
PyQt5	pcre2	lib
PyQt5	pulseaudio	lib
PyQt5	python3	linked
PyQt5	qt5	linked
PyQt5_sip	aaa_glibc-solibs	linked
PyQt6	PyQt6_sip	hint:import
PyQt6	aaa_glibc-solibs	linked
PyQt6	aaa_libraries	linked
PyQt6	brotli	lib
PyQt6	cyrus-sasl	lib
PyQt6	dbus	linked
PyQt6	duktape	lib
PyQt6	e2fsprogs	lib
PyQt6	flac	lib
PyQt6	fontconfig	lib
PyQt6	freetype	lib
PyQt6	glib2	lib
PyQt6	graphite2	lib
PyQt6	harfbuzz	lib
PyQt6	icu4c	lib
PyQt6	lame	lib
PyQt6	libX11	lib
PyQt6	libXau	lib
PyQt6	libXdmcp	lib
PyQt6	libXext	lib
PyQt6	libasyncns	lib
PyQt6	libglvnd	linked
PyQt6	libogg	lib
PyQt6	libproxy	lib
PyQt6	libsndfile	lib
PyQt6	liburing	lib
PyQt6	libvorbis	lib
PyQt6	libxcb	lib
PyQt6	mpg123	lib
PyQt6	nghttp2	lib
PyQt6	nghttp3	lib
PyQt6	ngtcp2	lib
PyQt6	openjpeg	lib
PyQt6	openssl	lib
PyQt6	openssl-solibs	lib
PyQt6	opus	lib
PyQt6	pcre2	lib
PyQt6	pcsc-lite	lib
PyQt6	pulseaudio	lib
PyQt6	python3	linked
PyQt6	qt6	linked
PyQt6	util-linux	lib
PyQt6_sip	aaa_glibc-solibs	linked
SDL2	aaa_glibc-solibs	linked
SDL2	aaa_libraries	hint:dlopen
SDL2	dbus	hint:dlopen
SDL2	esound	hint:dlopen
SDL2	libX11	hint:dlopen
SDL2	libXScrnSaver	hint:dlopen
SDL2	libXcursor	hint:dlopen
SDL2	libXext	hint:dlopen
SDL2	libXfixes	hint:dlopen
SDL2	libXi	hint:dlopen
SDL2	libXrandr	hint:dlopen
SDL2	libdrm	hint:dlopen
SDL2	libglvnd	hint:dlopen
SDL2	libsamplerate	hint:dlopen
SDL2	mesa	hint:dlopen
SDL2	pipewire	hint:dlopen
SDL2	pulseaudio	hint:dlopen
SDL2	vulkan-sdk	hint:dlopen
SDL2	wayland	hint:dlopen
SDL2_gfx	SDL2	linked
SDL2_gfx	aaa_glibc-solibs	linked
SDL2_image	SDL2	linked
SDL2_image	aaa_glibc-solibs	linked
SDL2_image	aaa_libraries	linked
SDL2_image	libdeflate	lib
SDL2_image	libwebp	linked
SDL2_mixer	SDL2	linked
SDL2_mixer	aaa_glibc-solibs	linked
SDL2_mixer	fluidsynth	hint:dlopen
SDL2_mixer	opusfile	hint:dlopen
SDL2_mixer	wavpack	hint:dlopen
SDL2_net	SDL2	linked
SDL2_net	aaa_glibc-solibs	linked
SDL2_ttf	SDL2	linked
SDL2_ttf	aaa_glibc-solibs	linked
SDL2_ttf	aaa_libraries	lib
SDL2_ttf	brotli	lib
SDL2_ttf	freetype	linked
SDL2_ttf	graphite2	lib
SDL2_ttf	harfbuzz	linked
SDL3	aaa_glibc-solibs	linked
SDL3	aaa_libraries	hint:dlopen
SDL3	dbus	hint:dlopen
SDL3	fribidi	hint:dlopen
SDL3	gtk+3	hint:dlopen
SDL3	libX11	hint:dlopen
SDL3	libXScrnSaver	hint:dlopen
SDL3	libXcursor	hint:dlopen
SDL3	libXext	hint:dlopen
SDL3	libXfixes	hint:dlopen
SDL3	libXi	hint:dlopen
SDL3	libXrandr	hint:dlopen
SDL3	libXtst	hint:dlopen
SDL3	libappindicator	hint:dlopen
SDL3	libdecor	hint:dlopen
SDL3	libdrm	hint:dlopen
SDL3	libglvnd	hint:dlopen
SDL3	liburing	hint:dlopen
SDL3	mesa	hint:dlopen
SDL3	pipewire	hint:dlopen
SDL3	pulseaudio	hint:dlopen
SDL3	vulkan-sdk	hint:dlopen
SDL3	wayland	hint:dlopen
SDL3_ttf	SDL3	linked
SDL3_ttf	aaa_glibc-solibs	linked
SDL3_ttf	aaa_libraries	lib
SDL3_ttf	brotli	lib
SDL3_ttf	freetype	linked
SDL3_ttf	graphite2	lib
SDL3_ttf	harfbuzz	linked
a2ps	aaa_glibc-solibs	linked
a2ps	gc	linked
a2ps	libpaper	linked
a52dec	aaa_glibc-solibs	linked
aaa_glibc-solibs	aaa_libraries	hint:dlopen
aaa_libraries	SDL2	linked
aaa_libraries	aaa_glibc-solibs	linked
aaa_libraries	aom	linked
aaa_libraries	avahi	linked
aaa_libraries	brotli	linked
aaa_libraries	cairo	linked
aaa_libraries	cyrus-sasl	linked
aaa_libraries	dav1d	linked
aaa_libraries	dbus	lib
aaa_libraries	e2fsprogs	linked
aaa_libraries	flac	lib
aaa_libraries	fontconfig	linked
aaa_libraries	freeglut	lib
aaa_libraries	freetype	linked
aaa_libraries	fribidi	lib
aaa_libraries	gdk-pixbuf2	lib
