from_pkg	kind	target	to_pkg	confidence
Cython	import	lxml	python-lxml	guess
Cython	import	numpy	python-numpy	guess
Cython	import	pygments	python-pygments	guess
GConf	import	lxml	python-lxml	guess
Mako	import	babel	python-babel	guess
Mako	import	markupsafe	python-MarkupSafe	guess
Mako	import	pygments	python-pygments	guess
NetworkManager	dlopen	libnvme.so.1	libnvme	guess
NetworkManager	exec	/usr/bin/dnsmasq	dnsmasq	guess
NetworkManager	exec	/usr/bin/nft	nftables	guess
NetworkManager	exec	/usr/bin/pppd	ppp	guess
NetworkManager-openvpn	exec	/usr/bin/openvpn	openvpn	guess
PyQt-builder	build	sipbuild	sip	guess
PyQt-builder	import	packaging	python-packaging	guess
PyQt5	import	PyQt5	PyQt5_sip	guess
PyQt6	import	PyQt6	PyQt6_sip	guess
SDL2	dlopen	libEGL.so.1	libglvnd	guess
SDL2	dlopen	libGL.so.1	libglvnd	guess
SDL2	dlopen	libGLESv1_CM.so.1	libglvnd	guess
SDL2	dlopen	libGLESv2.so.2	libglvnd	guess
SDL2	dlopen	libOpenGL.so.0	libglvnd	guess
SDL2	dlopen	libX11-xcb.so.1	libX11	guess
SDL2	dlopen	libX11.so.6	libX11	guess
SDL2	dlopen	libXcursor.so.1	libXcursor	guess
SDL2	dlopen	libXext.so.6	libXext	guess
SDL2	dlopen	libXfixes.so.3	libXfixes	guess
SDL2	dlopen	libXi.so.6	libXi	guess
SDL2	dlopen	libXrandr.so.2	libXrandr	guess
SDL2	dlopen	libXss.so.1	libXScrnSaver	guess
SDL2	dlopen	libasound.so.2	aaa_libraries	guess
SDL2	dlopen	libdbus-1.so.3	dbus	guess
SDL2	dlopen	libdrm.so.2	libdrm	guess
SDL2	dlopen	libesd.so.0	esound	guess
SDL2	dlopen	libgbm.so.1	mesa	guess
SDL2	dlopen	libpipewire-0.3.so.0	pipewire	guess
SDL2	dlopen	libpulse.so.0	pulseaudio	guess
SDL2	dlopen	libsamplerate.so.0	libsamplerate	guess
SDL2	dlopen	libudev.so.1	aaa_libraries	guess
SDL2	dlopen	libvulkan.so.1	vulkan-sdk	guess
SDL2	dlopen	libwayland-client.so.0	wayland	guess
SDL2	dlopen	libwayland-cursor.so.0	wayland	guess
SDL2	dlopen	libwayland-egl.so.1	wayland	guess
SDL2	dlopen	libxkbcommon.so.0	aaa_libraries	guess
SDL2_mixer	dlopen	libfluidsynth.so.3	fluidsynth	guess
SDL2_mixer	dlopen	libopusfile.so.0	opusfile	guess
SDL2_mixer	dlopen	libwavpack.so.1	wavpack	guess
SDL3	dlopen	libEGL.so.1	libglvnd	guess
SDL3	dlopen	libGL.so.1	libglvnd	guess
SDL3	dlopen	libGLESv1_CM.so.1	libglvnd	guess
SDL3	dlopen	libGLESv2.so.2	libglvnd	guess
SDL3	dlopen	libOpenGL.so.0	libglvnd	guess
SDL3	dlopen	libX11-xcb.so.1	libX11	guess
SDL3	dlopen	libX11.so.6	libX11	guess
SDL3	dlopen	libXcursor.so.1	libXcursor	guess
SDL3	dlopen	libXext.so.6	libXext	guess
SDL3	dlopen	libXfixes.so.3	libXfixes	guess
SDL3	dlopen	libXi.so.6	libXi	guess
SDL3	dlopen	libXrandr.so.2	libXrandr	guess
SDL3	dlopen	libXss.so.1	libXScrnSaver	guess
SDL3	dlopen	libXtst.so.6	libXtst	guess
SDL3	dlopen	libappindicator3.so.1	libappindicator	guess
SDL3	dlopen	libasound.so.2	aaa_libraries	guess
SDL3	dlopen	libdbus-1.so.3	dbus	guess
SDL3	dlopen	libdecor-0.so.0	libdecor	guess
SDL3	dlopen	libdrm.so.2	libdrm	guess
SDL3	dlopen	libfribidi.so.0	fribidi	guess
SDL3	dlopen	libgbm.so.1	mesa	guess
SDL3	dlopen	libgdk-3.so.0	gtk+3	guess
SDL3	dlopen	libgtk-3.so.0	gtk+3	guess
SDL3	dlopen	libjack.so.0	pipewire	guess
SDL3	dlopen	libpipewire-0.3.so.0	pipewire	guess
SDL3	dlopen	libpulse.so.0	pulseaudio	guess
SDL3	dlopen	libudev.so.1	aaa_libraries	guess
SDL3	dlopen	liburing-ffi.so.2	liburing	guess
SDL3	dlopen	libusb-1.0.so.0	aaa_libraries	guess
SDL3	dlopen	libvulkan.so.1	vulkan-sdk	guess
SDL3	dlopen	libwayland-client.so.0	wayland	guess
SDL3	dlopen	libwayland-cursor.so.0	wayland	guess
SDL3	dlopen	libwayland-egl.so.1	wayland	guess
SDL3	dlopen	libxkbcommon.so.0	aaa_libraries	guess
aaa_glibc-solibs	dlopen	libgcc_s.so.1	aaa_libraries	guess
aaa_glibc-solibs	dlopen	libidn2.so.0	aaa_libraries	guess
aaa_libraries	dlopen	libvulkan.so.1	vulkan-sdk	guess
accountsservice	exec	/usr/bin/chage	shadow	guess
accountsservice	exec	/usr/bin/chpasswd	shadow	guess
accountsservice	exec	/usr/bin/passwd	shadow	guess
accountsservice	exec	/usr/bin/useradd	shadow	guess
accountsservice	exec	/usr/bin/userdel	shadow	guess
accountsservice	exec	/usr/bin/usermod	shadow	guess
alpine	exec	/usr/bin/hunspell	hunspell	guess
alpine	exec	/usr/bin/rsh	netkit-rsh	guess
alpine	exec	/usr/bin/sendmail	postfix	guess
argon2	dlopen	libargon2.so.1	aaa_libraries	guess
at	exec	/usr/bin/sendmail	postfix	guess
at-spi2-core	exec	/usr/bin/dbus-daemon	dbus	guess
autofs	dlopen	libxml2.so.2	aaa_libraries	guess
avahi	dlopen	libnss_mdns.so.2	nss-mdns	guess
avahi	dlopen	libnss_mdns4.so.2	nss-mdns	guess
avahi	dlopen	libnss_mdns6.so.2	nss-mdns	guess
avahi	import	dbus	dbus-python	guess
avahi	import	gi	pygobject3	guess
bison	exec	/usr/bin/m4	m4	guess
blueman	exec	/usr/bin/pppd	ppp	guess
blueman	import	cairo	pycairo	guess
blueman	import	gi	pygobject3	guess
bluez	exec	/usr/bin/dbus-daemon	dbus	guess
bluez	exec	/usr/bin/pipewire	pipewire	guess
bsd-finger	exec	/usr/bin/uptime	procps-ng	guess
bsd-games	exec	/usr/bin/less	less	guess
c-ares	dlopen	libcares.so.2	aaa_libraries	guess
compiz	exec	/usr/bin/xfwm4	xfwm4	guess
cups	dlopen	libcupsimage.so.2	aaa_libraries	guess
cups	exec	/usr/bin/sendmail	postfix	guess
dbus-python	import	gi	pygobject3	guess
dcron	exec	/usr/bin/sendmail	postfix	guess
dmapi	dlopen	libdm.so.0	aaa_libraries	guess
dovecot	exec	/usr/bin/ntlm_auth	samba	guess
dovecot	exec	/usr/bin/sendmail	postfix	guess
e2fsprogs	dlopen	libarchive.so.13	libarchive	guess
e2fsprogs	dlopen	libmagic.so.1	file	guess
elm	exec	/usr/bin/ispell	ispell	guess
elm	exec	/usr/bin/sendmail	postfix	guess
elogind	exec	/usr/bin/pkttyagent	polkit	guess
eudev	dlopen	libudev.so.1	aaa_libraries	guess
ffmpeg	dlopen	libvulkan.so.1	vulkan-sdk	guess
flex	exec	/usr/bin/m4	m4	guess
freecell-solver	import	pysol_cards	python-pysol_cards	guess
freerdp	dlopen	libpcsclite.so.1	pcsc-lite	guess
freerdp	dlopen	opensc-pkcs11.so	opensc	guess
fuse	dlopen	libfuse.so.2	aaa_libraries	guess
fvwm	exec	/usr/bin/cpp	gcc	guess
fvwm	import	xdg	pyxdg	guess
gcc	dlopen	libatomic.so.1	aaa_libraries	guess
gcc	dlopen	libgomp.so.1	aaa_libraries	guess
gcc-g++	dlopen	liblto_plugin.so	gcc	guess
gcc-g++	dlopen	libstdc++.so.6	aaa_libraries	guess
gcc-gcobol	dlopen	liblto_plugin.so	gcc	guess
gcc-gdc	dlopen	libcurl.so.4	aaa_libraries	guess
gcc-gdc	dlopen	liblto_plugin.so	gcc	guess
gcc-gfortran	dlopen	liblto_plugin.so	gcc	guess
gcc-gm2	dlopen	liblto_plugin.so	gcc	guess
gcc-go	dlopen	liblto_plugin.so	gcc	guess
gcc-rust	dlopen	liblto_plugin.so	gcc	guess
gcr	exec	/usr/bin/ssh-add	openssh	guess
gcr	exec	/usr/bin/ssh-agent	openssh	guess
gcr4	exec	/usr/bin/ssh-add	openssh	guess
gcr4	exec	/usr/bin/ssh-agent	openssh	guess
gdb	dlopen	libthread_db.so.1	aaa_glibc-solibs	guess
gegl	dlopen	libGL.so.1	libglvnd	guess
gegl	dlopen	libOpenCL.so.1	ocl-icd	guess
gi-docgen	import	jinja2	python-Jinja2	guess
gi-docgen	import	markdown	python-markdown	guess
gi-docgen	import	markupsafe	python-MarkupSafe	guess
gi-docgen	import	packaging	python-packaging	guess
gi-docgen	import	pygments	python-pygments	guess
gi-docgen	import	typogrify	python-typogrify	guess
gimp	import	gi	pygobject3	guess
git	use	SVN::Client	subversion	guess
git	use	SVN::Core	subversion	guess
git	use	SVN::Delta	subversion	guess
git	use	SVN::Ra	subversion	guess
glib2	dlopen	libgthread-2.0.so.0	aaa_libraries	guess
glibc	dlopen	libBrokenLocale.so.1	aaa_glibc-solibs	guess
glibc	dlopen	libanl.so.1	aaa_glibc-solibs	guess
glibc	dlopen	libc_malloc_debug.so.0	aaa_glibc-solibs	guess
glibc	dlopen	libcrypt.so.1	aaa_glibc-solibs	guess
glibc	dlopen	libcrypt.so.2	aaa_glibc-solibs	guess
glibc	dlopen	libdl.so.2	aaa_glibc-solibs	guess
glibc	dlopen	libgcc_s.so.1	aaa_libraries	guess
glibc	dlopen	libidn2.so.0	aaa_libraries	guess
glibc	dlopen	libmemusage.so	aaa_glibc-solibs	guess
glibc	dlopen	libmvec.so.1	aaa_glibc-solibs	guess
glibc	dlopen	libnsl.so.1	aaa_glibc-solibs	guess
glibc	dlopen	libnss_compat.so.2	aaa_glibc-solibs	guess
glibc	dlopen	libnss_db.so.2	aaa_glibc-solibs	guess
