from_pkg	kind	target	to_pkg	confidence
Mako	import	markupsafe	python-MarkupSafe	declared
PyQt-builder	import	packaging	python-packaging	declared
PyQt-builder	import	packaging	python-setuptools	declared
PyQt-builder	import	sip	sip	declared
PyQt5	import	pyqt5-sip	PyQt5_sip	declared
PyQt6	import	pyqt6-sip	PyQt6_sip	declared
gi-docgen	import	jinja2	python-Jinja2	declared
gi-docgen	import	markdown	python-markdown	declared
gi-docgen	import	markupsafe	python-MarkupSafe	declared
gi-docgen	import	packaging	python-packaging	declared
gi-docgen	import	packaging	python-setuptools	declared
gi-docgen	import	pygments	python-pygments	declared
gi-docgen	import	typogrify	python-typogrify	declared
kapidox	import	doxypypy	python-doxypypy	declared
kapidox	import	doxyqml	python-doxyqml	declared
kapidox	import	jinja2	python-Jinja2	declared
kapidox	import	pyyaml	python-PyYAML	declared
kapidox	import	requests	python-requests	declared
meson-python	import	pyproject-metadata	python-pyproject_metadata	declared
nmap	import	pygobject	pygobject3	declared
olm	import	cffi	python-cffi	declared
python-Jinja2	import	markupsafe	python-MarkupSafe	declared
python-accessible-pygments	import	pygments	python-pygments	declared
python-build	import	packaging	python-packaging	declared
python-build	import	packaging	python-setuptools	declared
python-build	import	pyproject-hooks	python-pyproject-hooks	declared
python-doxypypy	import	chardet	python-chardet	declared
python-glad2	import	jinja2	python-Jinja2	declared
python-hatch-fancy-pypi-readme	import	hatchling	python-hatchling	declared
python-hatch-vcs	import	hatchling	python-hatchling	declared
python-hatch-vcs	import	setuptools-scm	python-setuptools_scm	declared
python-hatchling	import	packaging	python-packaging	declared
python-hatchling	import	packaging	python-setuptools	declared
python-hatchling	import	pathspec	python-pathspec	declared
python-hatchling	import	pluggy	python-pluggy	declared
python-hatchling	import	trove-classifiers	python-trove-classifiers	declared
python-html5lib	import	six	python-six	declared
python-html5lib	import	webencodings	python-webencodings	declared
python-importlib_metadata	import	zipp	python-setuptools	declared
python-importlib_metadata	import	zipp	python-zipp	declared
python-pbr	import	setuptools	python-setuptools	declared
python-pbr	import	setuptools	python2	declared
python-pyproject_metadata	import	packaging	python-packaging	declared
python-pyproject_metadata	import	packaging	python-setuptools	declared
python-requests	import	certifi	python-certifi	declared
python-requests	import	charset-normalizer	python-charset-normalizer	declared
python-requests	import	idna	python-idna	declared
python-requests	import	urllib3	python-urllib3	declared
python-scikit-build-core	import	packaging	python-packaging	declared
python-scikit-build-core	import	packaging	python-setuptools	declared
python-scikit-build-core	import	pathspec	python-pathspec	declared
python-setuptools	import	packaging	python-packaging	declared
python-setuptools	import	zipp	python-zipp	declared
python-setuptools-gettext	import	setuptools	python-setuptools	declared
python-setuptools-gettext	import	setuptools	python2	declared
python-setuptools_scm	import	packaging	python-packaging	declared
python-setuptools_scm	import	packaging	python-setuptools	declared
python-setuptools_scm	import	setuptools	python-setuptools	declared
python-setuptools_scm	import	setuptools	python2	declared
python-setuptools_scm	import	vcs-versioning	python-vcs_versioning	declared
python-sphinx	import	alabaster	python-alabaster	declared
python-sphinx	import	babel	python-babel	declared
python-sphinx	import	docutils	python-docutils	declared
python-sphinx	import	imagesize	python-imagesize	declared
python-sphinx	import	jinja2	python-Jinja2	declared
python-sphinx	import	packaging	python-packaging	declared
python-sphinx	import	packaging	python-setuptools	declared
python-sphinx	import	pygments	python-pygments	declared
python-sphinx	import	requests	python-requests	declared
python-sphinx	import	roman-numerals	python-roman-numerals	declared
python-sphinx	import	snowballstemmer	python-snowballstemmer	declared
python-sphinx_rtd_theme	import	docutils	python-docutils	declared
python-sphinx_rtd_theme	import	sphinx	python-sphinx	declared
python-sphinx_rtd_theme	import	sphinxcontrib-jquery	python-sphinx	declared
python-typogrify	import	smartypants	python-smartypants	declared
python-vcs_versioning	import	packaging	python-packaging	declared
python-vcs_versioning	import	packaging	python-setuptools	declared
python-wheel	import	packaging	python-packaging	declared
python-wheel	import	packaging	python-setuptools	declared
sip	import	packaging	python-packaging	declared
sip	import	packaging	python-setuptools	declared
sip	import	setuptools	python-setuptools	declared
sip	import	setuptools	python2	declared
