from_pkg	soname	to_pkg
Cython	libc.so.6	aaa_glibc-solibs
Cython	libc.so.6	glibc
GConf	libc.so.6	aaa_glibc-solibs
GConf	libc.so.6	glibc
GConf	libdbus-1.so.3	dbus
GConf	libdbus-glib-1.so.2	dbus-glib
GConf	libgio-2.0.so.0	glib2
GConf	libglib-2.0.so.0	aaa_libraries
GConf	libglib-2.0.so.0	glib2
GConf	libgmodule-2.0.so.0	aaa_libraries
GConf	libgmodule-2.0.so.0	glib2
GConf	libgobject-2.0.so.0	aaa_libraries
GConf	libgobject-2.0.so.0	glib2
GConf	libgthread-2.0.so.0	aaa_libraries
GConf	libgthread-2.0.so.0	glib2
GConf	liblber.so.2	aaa_libraries
GConf	liblber.so.2	openldap
GConf	libldap.so.2	aaa_libraries
GConf	libldap.so.2	openldap
GConf	libpolkit-gobject-1.so.0	polkit
GConf	libxml2.so.16	libxml2
Imath	libboost_container.so.1.91.0	boost
Imath	libboost_graph.so.1.91.0	boost
Imath	libboost_python312.so.1.91.0	boost
Imath	libc.so.6	aaa_glibc-solibs
Imath	libc.so.6	glibc
Imath	libgcc_s.so.1	aaa_libraries
Imath	libgcc_s.so.1	gcc
Imath	libm.so.6	aaa_glibc-solibs
Imath	libm.so.6	glibc
Imath	libstdc++.so.6	aaa_libraries
Imath	libstdc++.so.6	gcc-g++
LibRaw	libc.so.6	aaa_glibc-solibs
LibRaw	libc.so.6	glibc
LibRaw	libgcc_s.so.1	aaa_libraries
LibRaw	libgcc_s.so.1	gcc
LibRaw	libgomp.so.1	aaa_libraries
LibRaw	libgomp.so.1	gcc
LibRaw	libjpeg.so.62	aaa_libraries
LibRaw	libjpeg.so.62	libjpeg-turbo
LibRaw	liblcms2.so.2	lcms2
LibRaw	libm.so.6	aaa_glibc-solibs
LibRaw	libm.so.6	glibc
LibRaw	libstdc++.so.6	aaa_libraries
LibRaw	libstdc++.so.6	gcc-g++
LibRaw	libz.so.1	aaa_libraries
LibRaw	libz.so.1	zlib
MPlayer	libEGL.so.1	libglvnd
MPlayer	libGL.so.1	libglvnd
MPlayer	libSDL-1.2.so.0	sdl
MPlayer	libX11.so.6	libX11
MPlayer	libXext.so.6	libXext
MPlayer	libXinerama.so.1	libXinerama
MPlayer	libXss.so.1	libXScrnSaver
MPlayer	libXv.so.1	libXv
MPlayer	libXxf86dga.so.1	libXxf86dga
MPlayer	libXxf86vm.so.1	libXxf86vm
MPlayer	liba52.so.0	a52dec
MPlayer	libaa.so.1	aalib
MPlayer	libasound.so.2	aaa_libraries
MPlayer	libasound.so.2	alsa-lib
MPlayer	libass.so.9	libass
MPlayer	libatk-1.0.so.0	at-spi2-core
MPlayer	libavcodec.so.62	ffmpeg
MPlayer	libavformat.so.62	ffmpeg
MPlayer	libavutil.so.60	ffmpeg
MPlayer	libbluray.so.3	libbluray
MPlayer	libbz2.so.1	aaa_libraries
MPlayer	libbz2.so.1	bzip2
MPlayer	libc.so.6	aaa_glibc-solibs
MPlayer	libc.so.6	glibc
MPlayer	libcaca.so.0	libcaca
MPlayer	libcairo.so.2	cairo
MPlayer	libcdio.so.19	libcdio
MPlayer	libcdio_cdda.so.2	libcdio-paranoia
MPlayer	libcdio_paranoia.so.2	libcdio-paranoia
MPlayer	libdvdnav.so.4	libdvdnav
MPlayer	libdvdread.so.8	libdvdread
MPlayer	libesd.so.0	esound
MPlayer	libfontconfig.so.1	fontconfig
MPlayer	libfreetype.so.6	freetype
MPlayer	libfribidi.so.0	fribidi
MPlayer	libgdk-x11-2.0.so.0	gtk+2
MPlayer	libgdk_pixbuf-2.0.so.0	gdk-pixbuf2
MPlayer	libgio-2.0.so.0	glib2
MPlayer	libglib-2.0.so.0	aaa_libraries
MPlayer	libglib-2.0.so.0	glib2
MPlayer	libgnutls.so.30	gnutls
MPlayer	libgobject-2.0.so.0	aaa_libraries
MPlayer	libgobject-2.0.so.0	glib2
MPlayer	libgtk-x11-2.0.so.0	gtk+2
MPlayer	libharfbuzz.so.0	harfbuzz
MPlayer	libjpeg.so.62	aaa_libraries
MPlayer	libjpeg.so.62	libjpeg-turbo
MPlayer	liblzo2.so.2	lzo
MPlayer	libm.so.6	aaa_glibc-solibs
MPlayer	libm.so.6	glibc
MPlayer	libmad.so.0	libmad
MPlayer	libmng.so.2	libmng
MPlayer	libmp3lame.so.0	lame
MPlayer	libmpg123.so.0	mpg123
MPlayer	libncursesw.so.6	aaa_libraries
MPlayer	libncursesw.so.6	ncurses
MPlayer	libogg.so.0	libogg
MPlayer	libopenal.so.1	openal-soft
MPlayer	libopus.so.0	opus
MPlayer	libpango-1.0.so.0	pango
MPlayer	libpangocairo-1.0.so.0	pango
MPlayer	libpangoft2-1.0.so.0	pango
MPlayer	libpng16.so.16	aaa_libraries
MPlayer	libpng16.so.16	libpng
MPlayer	libpulse.so.0	pulseaudio
MPlayer	libsmbclient.so.0	samba
MPlayer	libspeex.so.1	speex
MPlayer	libswresample.so.6	ffmpeg
MPlayer	libswscale.so.9	ffmpeg
MPlayer	libtheoradec.so.2	libtheora
MPlayer	libtinfo.so.6	aaa_libraries
MPlayer	libtinfo.so.6	ncurses
MPlayer	libvga.so.1	aaa_libraries
MPlayer	libvga.so.1	svgalib
MPlayer	libvorbis.so.0	libvorbis
MPlayer	libvorbisenc.so.2	libvorbis
MPlayer	libz.so.1	aaa_libraries
MPlayer	libz.so.1	zlib
ModemManager	libc.so.6	aaa_glibc-solibs
ModemManager	libc.so.6	glibc
ModemManager	libgio-2.0.so.0	glib2
ModemManager	libglib-2.0.so.0	aaa_libraries
ModemManager	libglib-2.0.so.0	glib2
ModemManager	libgmodule-2.0.so.0	aaa_libraries
ModemManager	libgmodule-2.0.so.0	glib2
ModemManager	libgobject-2.0.so.0	aaa_libraries
ModemManager	libgobject-2.0.so.0	glib2
ModemManager	libgudev-1.0.so.0	libgudev
ModemManager	libmbim-glib.so.4	libmbim
ModemManager	libpolkit-gobject-1.so.0	polkit
ModemManager	libqmi-glib.so.5	libqmi
ModemManager	libqrtr-glib.so.0	libqrtr-glib
NetworkManager	ld-linux-x86-64.so.2	aaa_glibc-solibs
NetworkManager	ld-linux-x86-64.so.2	glibc
NetworkManager	libc.so.6	aaa_glibc-solibs
NetworkManager	libc.so.6	glibc
NetworkManager	libcurl.so.4	aaa_libraries
NetworkManager	libcurl.so.4	curl
NetworkManager	libelogind.so.0	elogind
NetworkManager	libgio-2.0.so.0	glib2
NetworkManager	libglib-2.0.so.0	aaa_libraries
NetworkManager	libglib-2.0.so.0	glib2
NetworkManager	libgmodule-2.0.so.0	aaa_libraries
NetworkManager	libgmodule-2.0.so.0	glib2
NetworkManager	libgobject-2.0.so.0	aaa_libraries
NetworkManager	libgobject-2.0.so.0	glib2
NetworkManager	libjansson.so.4	jansson
NetworkManager	libmm-glib.so.0	ModemManager
NetworkManager	libndp.so.0	libndp
NetworkManager	libnewt.so.0.52	newt
NetworkManager	libnspr4.so	mozilla-nss
NetworkManager	libnss3.so	mozilla-nss
NetworkManager	libpsl.so.5	aaa_libraries
NetworkManager	libpsl.so.5	libpsl
NetworkManager	libreadline.so.8	aaa_libraries
NetworkManager	libreadline.so.8	readline
NetworkManager	libsmime3.so	mozilla-nss
NetworkManager	libudev.so.1	aaa_libraries
NetworkManager	libudev.so.1	eudev
NetworkManager-openvpn	libatk-1.0.so.0	at-spi2-core
NetworkManager-openvpn	libc.so.6	aaa_glibc-solibs
NetworkManager-openvpn	libc.so.6	glibc
NetworkManager-openvpn	libcairo-gobject.so.2	cairo
NetworkManager-openvpn	libcairo.so.2	cairo
NetworkManager-openvpn	libgdk-3.so.0	gtk+3
NetworkManager-openvpn	libgdk_pixbuf-2.0.so.0	gdk-pixbuf2
NetworkManager-openvpn	libgio-2.0.so.0	glib2
NetworkManager-openvpn	libglib-2.0.so.0	aaa_libraries
NetworkManager-openvpn	libglib-2.0.so.0	glib2
NetworkManager-openvpn	libgmodule-2.0.so.0	aaa_libraries
NetworkManager-openvpn	libgmodule-2.0.so.0	glib2
NetworkManager-openvpn	libgobject-2.0.so.0	aaa_libraries
NetworkManager-openvpn	libgobject-2.0.so.0	glib2
NetworkManager-openvpn	libgtk-3.so.0	gtk+3
NetworkManager-openvpn	libharfbuzz.so.0	harfbuzz
NetworkManager-openvpn	libnm.so.0	NetworkManager
NetworkManager-openvpn	libnma.so.0	libnma
NetworkManager-openvpn	libpango-1.0.so.0	pango
NetworkManager-openvpn	libpangocairo-1.0.so.0	pango
NetworkManager-openvpn	libsecret-1.so.0	libsecret
NetworkManager-openvpn	libz.so.1	aaa_libraries
NetworkManager-openvpn	libz.so.1	zlib
OpenCC	ld-linux-x86-64.so.2	aaa_glibc-solibs
OpenCC	ld-linux-x86-64.so.2	glibc
OpenCC	libc.so.6	aaa_glibc-solibs
OpenCC	libc.so.6	glibc
OpenCC	libgcc_s.so.1	aaa_libraries
OpenCC	libgcc_s.so.1	gcc
OpenCC	libm.so.6	aaa_glibc-solibs
OpenCC	libm.so.6	glibc
OpenCC	libmarisa.so.0	marisa
OpenCC	libstdc++.so.6	aaa_libraries
OpenCC	libstdc++.so.6	gcc-g++
PyQt5	libGL.so.1	libglvnd
PyQt5	libQt5Bluetooth.so.5	qt5
PyQt5	libQt5Core.so.5	qt5
