autofs	libautofs.so
epic5	libperl.so
expect	libexpect5.45.4.so
expect	libtcl8.6.so
graphviz	libperl.so
hexchat	libperl.so
hfsutils	libtcl8.6.so
hfsutils	libtk8.6.so
irssi	libperl.so
net-snmp	libperl.so
newt	libtcl8.6.so
openldap	libperl.so
perl	libperl.so
pidgin	libperl.so
pidgin	libtcl8.6.so
pidgin	libtk8.6.so
python2	libtcl8.6.so
python2	libtk8.6.so
python3	libtcl8.6.so
python3	libtk8.6.so
qca	libsqlite3.so
rxvt-unicode	libperl.so
speech-dispatcher	libKAnalyse.so
speech-dispatcher	libKGlobal.so
speech-dispatcher	libKParle.so
speech-dispatcher	libKTrans.so
speech-dispatcher	libKali.so
speech-dispatcher	libbaratinoo.so
speech-dispatcher	libvoxin.so
subversion	libperl.so
tcl	libtcl8.6.so
texinfo	libperl.so
tk	libtcl8.6.so
tk	libtk8.6.so
xfce4-notifyd	libsqlite3.so
